,start_time,end_time,floor,time_offset,Duration_in_min,Date,climb_time_hour
0,2018-08-10 17:30:01,2018-08-10 17:31:42,8.0,UTC-0400,1.6833333333333333,2018-08-10,21
1,2018-11-06 17:32:54,2018-11-06 17:33:11,1.0,UTC-0500,0.2833333333333333,2018-11-06,22
2,2018-07-03 07:50:11,2018-07-03 07:50:25,1.0,UTC-0400,0.23333333333333334,2018-07-03,11
3,2018-01-24 21:29:51,2018-01-24 21:30:56,2.0,UTC-0500,1.0833333333333333,2018-01-25,2
4,2018-07-03 08:41:54,2018-07-03 08:42:05,1.0,UTC-0400,0.18333333333333332,2018-07-03,12
5,2018-12-21 20:58:37,2018-12-21 20:58:47,1.0,UTC-0500,0.16666666666666666,2018-12-22,1
6,2018-10-09 08:31:15,2018-10-09 08:31:40,2.0,UTC-0400,0.4166666666666667,2018-10-09,12
7,2018-03-27 21:04:01,2018-03-27 21:04:27,1.0,UTC-0400,0.43333333333333335,2018-03-28,1
8,2018-02-12 07:38:21,2018-02-12 07:40:16,2.0,UTC-0500,1.9166666666666667,2018-02-12,12
9,2018-08-26 16:22:39,2018-08-26 16:23:55,3.0,UTC+0200,1.2666666666666666,2018-08-26,14
10,2018-12-14 09:12:52,2018-12-14 09:13:12,1.0,UTC-0500,0.3333333333333333,2018-12-14,14
11,2018-03-16 17:17:05,2018-03-16 17:17:22,1.0,UTC-0400,0.2833333333333333,2018-03-16,21
12,2018-07-27 18:34:00,2018-07-27 18:34:13,1.0,UTC-0400,0.21666666666666667,2018-07-27,22
13,2018-01-22 15:50:22,2018-01-22 15:50:38,1.0,UTC-0500,0.26666666666666666,2018-01-22,20
14,2018-04-04 20:54:32,2018-04-04 20:54:48,1.0,UTC-0400,0.26666666666666666,2018-04-05,0
15,2018-07-09 19:34:12,2018-07-09 19:35:26,2.0,UTC-0400,1.2333333333333334,2018-07-09,23
16,2018-05-07 21:09:16,2018-05-07 21:09:25,1.0,UTC-0400,0.15,2018-05-08,1
17,2018-10-12 18:23:43,2018-10-12 18:24:09,1.0,UTC-0400,0.43333333333333335,2018-10-12,22
18,2018-06-25 07:40:23,2018-06-25 07:40:46,1.0,UTC-0400,0.38333333333333336,2018-06-25,11
19,2018-09-03 19:02:35,2018-09-03 19:03:21,2.0,UTC-0400,0.7666666666666667,2018-09-03,23
20,2017-12-31 10:25:15,2017-12-31 10:25:44,2.0,UTC-0800,0.48333333333333334,2017-12-31,18
21,2018-05-23 07:45:59,2018-05-23 07:48:12,3.0,UTC-0400,2.216666666666667,2018-05-23,11
22,2018-10-12 09:10:03,2018-10-12 09:10:10,1.0,UTC-0400,0.11666666666666667,2018-10-12,13
23,2018-04-19 18:33:56,2018-04-19 18:34:08,1.0,UTC-0400,0.2,2018-04-19,22
